Schools,URL,Majors,Degree,City,State,Technology,Financial Aid,Logo,Campus Image,Assigned,Virtual Tour,Graduates,Notes
Alabama A & M University,http://www.aamu.edu/Pages/default.aspx,"Accounting; Applied Technology (MS); Art; Biology; Biology-Pre-Health; Biomedical Engineering; Chemistry; Clinical Mental Health Counseling (MS); Communications (Communications Studies/Journalism/Public Relations/Radio & Television/Recording Industry/Recording Technology); Computer Information Systems; Computer Science; Counselor Education (MS/MEd/EdS); Criminal Justice (Corrections/Criminology/Juvenile Justice/Law Enforcement); Dance; Early Childhood Education (MEd); Educational Leadership Policy & Law (EdD/PhD); Elementary Education (BS); English; Finance; Forensic Biology; Forensic Chemistry; Health Information Management; History; Interdisciplinary Studies; Instructional Leadership (EdS/MEd); Management; Marine Biology; Library Educational Media (EdS/MEd); Mathematics; Marketing; Music; Physical Education (BS); Political Science; Psychology; Recreational Therapy (BS); Rehabilitation Services; Secondary Education (Biology Education (BS/EdS/MEd)/Business/Marketing Education (BS)/ Chemistry Education (BS)/ Early Childhood Education (BS/EdS)/Elementary Education (EdS/MEd)/English Language Arts Education (BS/MEd)/ General Science Education (BS/MEd)/General Social Science (BS/EdS/MEd)/ Health Education (BS/MEd)/History (EdS)/ History Education (BS/MEd)/ Mathematics (EdS)/Mathematics Education (BS/MEd)/Music Education Choral (BME)/ Music Education, Instrumental (B.M.E.)/ Physical Education (MEd)); School Counseling (EdS); Social Work (BS); Special Education (BS/MR & LD/MEd); Teacher Education/P-12 Education (Reading Specialist (MEd)/ Music Ed Instrumental (MEd)/ Education: Physical Education (MEd)); Teacher Leadership (EdS); Theatre Arts;",Bachelor of Science;Masters of Science;Doctoral,Huntsville,Alabama,BLACKBOARD,"The AAMU Presidential Scholarship,The AAMU Merit Scholarship,The AAMU Transfer Merit Scholarship,Normalite Opportunity Scholarship,AAMU Heritage Gold,AAMU Heritage Silver,AAMU Heritage Bronze",,,Bish,,,
Alabama State University,http://www.alasu.edu/index.aspx,"BS in Computer Information Systems; BS in Health Information Management,
 BS in Rehabilitation Services (concentration: addiction studies), BS in Biology (Marine Biology, Pre-Health Professional);BS in Chemistry (Forensic Science, Pre-Health Professional);BS in Computer Science;BS in Mathematics MS in Biology;MS in Forensic Science;MS Mathematics;Microbiology (Ph.D)",Bachelor of Science;Masters of Science;Doctoral,Montgomery,Alabama,Blackboard,"Presidential Academic, Academic Excellence, and Academic Incentive,BLACK AND GOLD SCHOLARSHIP,The Prince Winston Armstrong Scholarship,Arthur and Thelma Glass Scholarship,Charles S. Hill M.D. Scholarship,The Wallace Maryland, Jr. Scholarship,John Starks Scholarship,",,,Bish,,,
Albany State University,http://www.asurams.edu/,Associate of Science in Radiologic Science;Bachelor of Science in Nursing;Bachelor of Science with a Major in Biology; Bachelor of Science in Chemistry; Bachelor of Science in Computer Science;Master of Science in Nursing,Bachelor of Science (BS); Masters of Science (MS),Albany,Georgia,D2L Brightspace,Sabal Trail Transmission Scholarship;James M. Barnett Memorial Scholarship Fund;Ebuka Obiekwe Memorial Scholarship Fund;Wellington D. Swindall Book Scholarship,,,Bish,,,
Alcorn State University,http://www.alcorn.edu/,BS in degree in Computer Science;BS in degree in Mathematics and its concentration on Data Science;MS in degree in Computer and Information Science;,Bachelor of Science (BS); Masters of Science (MS),Lorman,Mississippi,Blackboard,"L. T. AND REGINA ELLIS SCHOLARSHIP,DR. MALVIN A. WILLIAMS ENDOWED SCHOLARSHIP,THE DR. JESSE J. LUCAS SCHOLARSHIP FUND",,,Bish,,,
Allen University,http://allenuniversity.edu/,"African American Studies,  Business Adminsitration; Criminial Justice; English; Mathematics; Military Science; Religion;",Bachelor of Art (BA); Bachelor of Science (BS); ,Columbia,South Carolina,,,,,Bish,,,
Arkansas Baptist College,http://www.arkansasbaptist.edu/,Accounting (AAB/BBA); Business Administration (BBA);  Christian Education (AA/BA); Criminal Justice (BA); Entrepreneurship (BBA);  Human Services (BA);  Religious Studies (AA/BA); Sports Management (BBA); Urban Community Leadership (AA/BA),Bachelor of Business Administration; Associate of Arts in Business Administration,Little Rock,Arkansas,,,,,Bish,,,
Benedict College,http://www.benedict.edu/,Cybersecurity (BS); Computer Engineering(BS); Mathematics (BS); Chemistry (BS);  Computer Science (BS); Enviromental Engineering (BS);,Bachelor of Science (BS); ,Columbia,South Carolina,edvance360,"LIFE Scholarship, Palmetto Fellows Scholarhip Program, HOPE Scholarship",,,Bish,,,
Bennett College for Women,http://www.bennett.edu/,BS in Chemistry; BS in Computer Science; BS in Mathematics,Bachelor of Science (BS); ,Columbia,South Carolina,,,,,Bish,,,
Bethune-Cookman University,http://www.cookman.edu/,Biology; Chemistry (BS); BioChemistry (BS); Computer Engineering (BS); Computer Information Systems (BS); Computer Science (BS); Mathematics (BS),Bachelor of Science (BS); ,Daytona Beach,Florida,Canvas,"Gaming Scholarship Program, ""Careers in Coding” Contest, BrainBuxa Scholarship, Molded Dimensions,",,,Bish,,,
Bishop State Community College,https://www.bishop.edu/,Cosmetology (CT); Diesel Technology (CT); Nursing (AAS); ,Associate in Arts (AA); Associate in Science (AS); Career Technical (CT); ,Mobile,Alabama,,,,,Bish,,,
